"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
119,"Daniel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139","34","139","34","","",NA,NA,NA,NA
120,"Majchrzak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"Royer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"Kopriva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","7","30","7","","",NA,NA,NA,NA
123,"Alboran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","15","82","15","","",NA,NA,NA,NA
124,"Coria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","23","63","23","","",NA,NA,NA,NA
125,"Ritschard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"Cerúndolo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"Kovalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","4","18","4","","",NA,NA,NA,NA
128,"Purcell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"258","34","258","34","","",NA,NA,NA,NA
129,"Schoolkate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","4","55","4","","",NA,NA,NA,NA
130,"Kym",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
